ano;mes;total_mes;ano_mes
2004;1;6780680.4799999995;2004_1
2004;2;6429238.2799999975;2004_2
2004;3;6600338.159999999;2004_3
2004;4;6809006.55;2004_4
2004;5;6477341.35;2004_5
2004;6;6291091.439999999;2004_6
2004;7;6292471.02;2004_7
2004;8;6304477.139999999;2004_8
2004;9;6604390.050000001;2004_9
2004;10;6606513.999999999;2004_10
2004;11;6631190.279999998;2004_11
2004;12;6643371.329999998;2004_12
2005;1;7118537.829999999;2005_1
2005;2;6758333.180000001;2005_2
2005;3;6865215.669999999;2005_3
2005;4;7131738.16;2005_4
2005;5;6718147.449999998;2005_5
2005;6;6781275.739999998;2005_6
2005;7;6644820.5;2005_7
2005;8;6704674.960000003;2005_8
2005;9;6949354.66;2005_9
2005;10;6917987.29;2005_10
2005;11;6976441.220000001;2005_11
2005;12;7077729.79;2005_12
2006;1;7167632.08;2006_1
2006;2;7131815.549999998;2006_2
2006;3;7408516.95;2006_3
2006;4;7229825.780000002;2006_4
2006;5;6933355.68;2006_5
2006;6;6963592.809999999;2006_6
2006;7;6892915.389999999;2006_7
2006;8;6939971.699999999;2006_8
2006;9;7128370.580000001;2006_9
2006;10;7182235.960000001;2006_10
2006;11;7438708.479999999;2006_11
2006;12;7366884.799999999;2006_12
2007;1;7710353.0;2007_1
2007;2;7392941.0;2007_2
2007;3;7594317.0;2007_3
2007;4;7728826.0;2007_4
2007;5;7491488.0;2007_5
2007;6;7204161.0;2007_6
2007;7;7071277.0;2007_7
2007;8;7344516.0;2007_8
2007;9;7449312.0;2007_9
2007;10;7511776.0;2007_10
2007;11;7768281.0;2007_11
2007;12;7618124.0;2007_12
2008;1;8134240.7;2008_1
2008;2;7958717.0;2008_2
2008;3;7693600.9;2008_3
2008;4;7754681.1;2008_4
2008;5;7933880.7;2008_5
2008;6;7621230.4;2008_6
2008;7;7653505.2;2008_7
2008;8;7880631.6;2008_8
2008;9;7815707.9;2008_9
2008;10;8119784.8;2008_10
2008;11;8237719.1;2008_11
2008;12;7942689.4;2008_12
2009;1;8604549.0;2009_1
2009;2;8149451.0;2009_2
2009;3;8489683.0;2009_3
2009;4;8472103.0;2009_4
2009;5;8188290.0;2009_5
2009;6;7909294.0;2009_6
2009;7;8104911.0;2009_7
2009;8;8402964.0;2009_8
2009;9;8416801.0;2009_9
2009;10;8525741.0;2009_10
2009;11;8635752.0;2009_11
2009;12;8876631.0;2009_12
2010;1;9235076.0;2010_1
2010;2;8912339.0;2010_2
2010;3;9152747.0;2010_3
2010;4;9150250.0;2010_4
2010;5;8708999.0;2010_5
2010;6;8675796.0;2010_6
2010;7;8447539.0;2010_7
2010;8;8812297.0;2010_8
2010;9;8903996.0;2010_9
2010;10;8951048.0;2010_10
2010;11;8962739.0;2010_11
2010;12;9301844.0;2010_12
2011;1;9810199.0;2011_1
2011;2;9405182.0;2011_2
2011;3;9507847.0;2011_3
2011;4;9236686.0;2011_4
2011;5;9137821.0;2011_5
2011;6;8867816.0;2011_6
2011;7;9128445.0;2011_7
2011;8;9201316.0;2011_8
2011;9;9523959.0;2011_9
2011;10;9364967.0;2011_10
2011;11;9303323.0;2011_11
2011;12;9483105.0;2011_12
2012;1;9800235.55;2012_1
2012;2;9704924.77;2012_2
2012;3;10270603.42;2012_3
2012;4;9928135.47;2012_4
2012;5;9532019.14;2012_5
2012;6;9604889.5;2012_6
2012;7;9274297.07;2012_7
2012;8;9621636.85;2012_8
2012;9;9748529.22;2012_9
2012;10;9787981.07;2012_10
2012;11;10239385.17;2012_11
2012;12;10133212.3;2012_12
2013;1;10924885.0;2013_1
2013;2;10474529.0;2013_2
2013;3;10356996.0;2013_3
2013;4;10301585.0;2013_4
2013;5;10241914.0;2013_5
2013;6;10092191.0;2013_6
2013;7;10022335.0;2013_7
2013;8;10280497.0;2013_8
2013;9;10251165.0;2013_9
2013;10;10545296.0;2013_10
2013;11;10710888.0;2013_11
2013;12;10705681.0;2013_12
2014;1;11798319.0;2014_1
2014;2;11878858.0;2014_2
2014;3;11288501.0;2014_3
2014;4;10780340.0;2014_4
2014;5;10877148.0;2014_5
2014;6;10321869.0;2014_6
2014;7;10656938.0;2014_7
2014;8;10440492.0;2014_8
2014;9;10575615.0;2014_9
2014;10;11140609.0;2014_10
2014;11;11382391.0;2014_11
2014;12;11160770.0;2014_12
2015;1;12558302.07;2015_1
2015;2;11780261.0;2015_2
2015;3;11098110.0;2015_3
2015;4;10889663.0;2015_4
2015;5;10541785.0;2015_5
2015;6;10112848.0;2015_6
2015;7;10110752.0;2015_7
2015;8;10312915.0;2015_8
2015;9;10436503.0;2015_9
2015;10;11133353.0;2015_10
2015;11;11131741.0;2015_11
2015;12;11083535.0;2015_12
2016;1;11830096.0;2016_1
2016;2;11351945.0;2016_2
2016;3;11316243.0;2016_3
2016;4;11782473.0;2016_4
2016;5;10932332.0;2016_5
2016;6;10613953.0;2016_6
2016;7;10380620.0;2016_7
2016;8;10427772.0;2016_8
2016;9;10890071.0;2016_9
2016;10;10855564.0;2016_10
2016;11;11133955.0;2016_11
2016;12;11357061.0;2016_12
2017;1;11905635.0;2017_1
2017;2;11369668.0;2017_2
2017;3;12148953.0;2017_3
2017;4;11135480.0;2017_4
2017;5;10939059.0;2017_5
2017;6;10790711.0;2017_6
2017;7;10428729.0;2017_7
2017;8;10475249.0;2017_8
2017;9;11096707.0;2017_9
2017;10;11174696.0;2017_10
2017;11;11462132.0;2017_11
2017;12;11441479.0;2017_12
2018;1;11957246.490000002;2018_1
2018;2;11658888.430000002;2018_2
2018;3;11950323.67;2018_3
2018;4;11932953.14;2018_4
2018;5;11400720.669999998;2018_5
2018;6;11066195.599999996;2018_6
2018;7;10790601.66;2018_7
2018;8;10808782.580000002;2018_8
2018;9;11129561.609999998;2018_9
2018;10;11526904.870000003;2018_10
2018;11;11758805.840000002;2018_11
2018;12;11633959.570000002;2018_12
2019;1;12938073.15;2019_1
2019;2;12626667.780000003;2019_2
2019;3;12384049.919999996;2019_3
2019;4;11569458.550000003;2019_4
2019;5;11926593.649999997;2019_5
2019;6;11050316.560000002;2019_6
2019;7;10952285.85;2019_7
2019;8;10987004.139;2019_8
2019;9;11379178.960000003;2019_9
2019;10;11973113.88;2019_10
2019;11;12423678.160000002;2019_11
2019;12;12200705.990000002;2019_12
2020;1;12908508.549999997;2020_1
2020;2;12383228.639999999;2020_2
2020;3;12431859.350000005;2020_3
2020;4;12318358.18;2020_4
2020;5;11755901.769999994;2020_5
2020;6;11395964.930000005;2020_6
2020;7;11706528.429999998;2020_7
2020;8;11851775.820000002;2020_8
2020;9;12240388.310000002;2020_9
2020;10;13090078.259999996;2020_10
2020;11;12777893.449999996;2020_11
2020;12;13312692.069999995;2020_12
2021;1;13654031.42;2021_1
2021;2;12875837.51;2021_2
2021;3;13256387.510000005;2021_3
2021;4;13358894.949999994;2021_4
2021;5;11974093.18;2021_5
2021;6;12000079.239999996;2021_6
2021;7;11700591.119999997;2021_7
2021;8;11836597.579999998;2021_8
2021;9;12596417.980000006;2021_9
2021;10;12538159.050000003;2021_10
2021;11;12377506.170000004;2021_11
2021;12;13084842.929999998;2021_12
2022;1;13069831.970000004;2022_1
2022;2;13024936.690000001;2022_2
2022;3;13924000.290000001;2022_3
2022;4;12884804.030000003;2022_4
2022;5;12288895.47;2022_5
2022;6;11928166.03;2022_6
2022;7;11989129.67;2022_7
2022;8;12087966.999999996;2022_8
2022;9;12506523.940000001;2022_9
2022;10;12608031.22;2022_10
2022;11;12951891.43;2022_11
2022;12;13690417.149999999;2022_12
